date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:33:06	146/146	U-----	200	untouched ('OK')	text/plain	date:Sat,%2022%20Oct%202022%2002:32:24%20GMT	https://shop.basementbeast.com/robots.txt		(from )
19:33:08	261250/261250	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Oct%202022%2002:33:07%20GMT	https://shop.basementbeast.com/	C:/My%20Web%20Sites/basement/shop.basementbeast.com/index.html	(from )
19:33:08	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-5e3a141d2fc6d-gzip%22	https://shop.basementbeast.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.3	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-includes/css/dist/block-library/style.min1eb7.css	(from https://shop.basementbeast.com/)
19:33:08	5305/5305	---M-Z	200	added ('OK')	text/css	etag:%2214b9-5d9e2cf02b8df-gzip%22	https://shop.basementbeast.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=6.1.0	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style42c6.css	(from https://shop.basementbeast.com/)
19:33:08	192102/192102	---M-Z	200	added ('OK')	text/css	etag:%222ee66-5d9e2cf02b8df-gzip%22	https://shop.basementbeast.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=6.1.0	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style42c6.css	(from https://shop.basementbeast.com/)
19:33:08	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-5d8bb0844065d-gzip%22	https://shop.basementbeast.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.6	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/plugins/contact-form-7/includes/css/styles5406.css	(from https://shop.basementbeast.com/)
19:33:09	5301/5301	---M-Z	200	added ('OK')	text/css	etag:%2214b5-5dcaf0f14bd3a-gzip%22	https://shop.basementbeast.com/wp-content/plugins/custom-redirections-for-wshk/elementor/assets/advanced-tabs.css?ver=6.0.3	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/plugins/custom-redirections-for-wshk/elementor/assets/advanced-tabs1eb7.css	(from https://shop.basementbeast.com/)
19:33:09	0/0	---M--	200	added ('OK')	text/css	etag:%220-5be623beccb40%22	https://shop.basementbeast.com/wp-content/plugins/lionthemes-helper/assets/style.css?ver=6.0.3	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/plugins/lionthemes-helper/assets/style1eb7.css	(from https://shop.basementbeast.com/)
19:33:09	26351/26351	---M-Z	200	added ('OK')	application/rss+xml	etag:%229454c33b578288216feb844040bf9878-gzip%22	https://shop.basementbeast.com/feed/	C:/My%20Web%20Sites/basement/shop.basementbeast.com/feed/index.html	(from https://shop.basementbeast.com/)
19:33:09	17925/17925	---M-Z	200	added ('OK')	text/css	etag:%224605-5d9e2ceffbb3f-gzip%22	https://shop.basementbeast.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=5.9.1	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout74e5.css	(from https://shop.basementbeast.com/)
19:33:09	2189/2189	---M-Z	200	added ('OK')	application/rss+xml	etag:%22191a036f36209daf4f1d24e46e77df60-gzip%22	https://shop.basementbeast.com/comments/feed/	C:/My%20Web%20Sites/basement/shop.basementbeast.com/comments/feed/index.html	(from https://shop.basementbeast.com/)
19:33:09	7043/7043	---M-Z	200	added ('OK')	text/css	etag:%221b83-5d9e2ceffcadf-gzip%22	https://shop.basementbeast.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=5.9.1	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen74e5.css	(from https://shop.basementbeast.com/)
19:33:10	62803/62803	---M-Z	200	added ('OK')	text/css	etag:%22f553-5d9e2ceffbb3f-gzip%22	https://shop.basementbeast.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=5.9.1	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/plugins/woocommerce/assets/css/woocommerce74e5.css	(from https://shop.basementbeast.com/)
19:33:10	98/98	---M-Z	200	added ('OK')	text/css	etag:%2262-5d2162b974280-gzip%22	https://shop.basementbeast.com/wp-content/plugins/wt-import-export-for-woo/public/css/wt-import-export-for-woo-public.css?ver=1.1.2	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/plugins/wt-import-export-for-woo/public/css/wt-import-export-for-woo-publiccfa9.css	(from https://shop.basementbeast.com/)
19:33:10	1988/1988	---M-Z	200	added ('OK')	text/css	etag:%227c4-5c809c91dfd80-gzip%22	https://shop.basementbeast.com/wp-content/plugins/metorik-helper/assets/css/metorik.css?ver=1.5.1	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/plugins/metorik-helper/assets/css/metorikcc1a.css	(from https://shop.basementbeast.com/)
19:33:10	7066/7066	---M-Z	200	added ('OK')	text/css	etag:%221b9a-5cd26c306b000-gzip%22	https://shop.basementbeast.com/wp-content/plugins/woocommerce-all-products-for-subscriptions/assets/css/frontend/woocommerce.css?ver=3.1.30	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/plugins/woocommerce-all-products-for-subscriptions/assets/css/frontend/woocommerceef0a.css	(from https://shop.basementbeast.com/)
19:33:11	64663/64663	---M-Z	200	added ('OK')	text/css	etag:%22fc97-5be623bfc0d80-gzip%22	https://shop.basementbeast.com/wp-content/plugins/mega_main_menu/framework/src/css/icomoon.css?ver=2.1.2	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/plugins/mega_main_menu/framework/src/css/icomoon431f.css	(from https://shop.basementbeast.com/)
19:33:11	123332/123332	---M-Z	200	added ('OK')	text/css	etag:%221e1c4-5c80ec4b755c0-gzip%22	https://shop.basementbeast.com/wp-content/plugins/mega_main_menu/src/css/cache.skin.css?ver=1627340635	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/plugins/mega_main_menu/src/css/cache.skin16a9.css	(from https://shop.basementbeast.com/)
19:33:11	404/404	---M-Z	200	added ('OK')	text/css	etag:%22194-5be62211a56c0-gzip%22	https://shop.basementbeast.com/wp-content/themes/gota/css/font-futurastdbook.css?ver=6.0.3	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/themes/gota/css/font-futurastdbook1eb7.css	(from https://shop.basementbeast.com/)
19:33:11	30997/30997	---M-Z	200	added ('OK')	text/css	etag:%227915-5be62211a56c0-gzip%22	https://shop.basementbeast.com/wp-content/themes/gota/css/font-awesome.min.css?ver=6.0.3	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/themes/gota/css/font-awesome.min1eb7.css	(from https://shop.basementbeast.com/)
19:33:11	4868/4868	---M-Z	200	added ('OK')	text/css	etag:%221304-5c7d238a5c1c0-gzip%22	https://shop.basementbeast.com/wp-content/themes/gota/style.css?ver=1627080591	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/themes/gota/style14d2.css	(from https://shop.basementbeast.com/)
19:33:12	192306/192306	---M-Z	200	added ('OK')	text/css	etag:%222ef32-5be62210b1480-gzip%22	https://shop.basementbeast.com/wp-content/themes/gota/css/bootstrap.css?ver=4.3.1	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/themes/gota/css/bootstrap5b31.css	(from https://shop.basementbeast.com/)
19:33:12	13028/13028	---M-Z	200	added ('OK')	text/css	etag:%2232e4-5be62211a56c0-gzip%22	https://shop.basementbeast.com/wp-content/themes/gota/css/icomoon.css?ver=6.0.3	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/themes/gota/css/icomoon1eb7.css	(from https://shop.basementbeast.com/)
19:33:12	1861/1861	---M-Z	200	added ('OK')	text/css	etag:%22745-5be62261c13c0-gzip%22	https://shop.basementbeast.com/wp-content/themes/gota/ext/owl-carousel/owl.carousel.css?ver=6.0.3	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/themes/gota/ext/owl-carousel/owl.carousel1eb7.css	(from https://shop.basementbeast.com/)
19:33:12	4476/4476	---M-Z	200	added ('OK')	text/css	etag:%22117c-5be62261c13c0-gzip%22	https://shop.basementbeast.com/wp-content/themes/gota/ext/owl-carousel/owl.transitions.css?ver=6.0.3	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/themes/gota/ext/owl-carousel/owl.transitions1eb7.css	(from https://shop.basementbeast.com/)
19:33:13	52805/52805	---M-Z	200	added ('OK')	text/css	etag:%22ce45-5be6220fbd240-gzip%22	https://shop.basementbeast.com/wp-content/themes/gota/css/animate.min.css?ver=6.0.3	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/themes/gota/css/animate.min1eb7.css	(from https://shop.basementbeast.com/)
19:33:13	4895/4895	---M-Z	200	added ('OK')	text/css	etag:%22131f-5be6225df0ac0-gzip%22	https://shop.basementbeast.com/wp-content/themes/gota/ext/fancybox/jquery.fancybox.css?ver=6.0.3	C:/My%20Web%20Sites/basement/shop.basementbeast.com/wp-content/themes/gota/ext/fancybox/jquery.fancybox1eb7.css	(from https://shop.basementbeast.com/)
